10/7/2017 10:57:33 PM  PLAYER-DIES  PLAYER
10/7/2017 10:58:41 PM  TYPING-CODE: System.close();   --> System.o();    CODE
10/7/2017 10:58:41 PM  TYPING-CODE: System.o();   --> System.op();    CODE
10/7/2017 10:58:41 PM  TYPING-CODE: System.op();   --> System.ope();    CODE
10/7/2017 10:58:41 PM  TYPING-CODE: System.ope();   --> System.open();    CODE
10/7/2017 10:58:42 PM  MOUSE-OVER-DEBUG-BUTTON  TERMINAL_WINDOW
10/7/2017 10:58:43 PM  MOUSE-OVER-DEBUG-BUTTON  TERMINAL_WINDOW
10/7/2017 10:58:43 PM  MOUSE-OVER-DEBUG-BUTTON  TERMINAL_WINDOW
10/7/2017 10:58:43 PM  DEBUG-CLICKED  TERMINAL_WINDOW
10/7/2017 10:58:43 PM  CORRECT-SYNTAX  CODE
10/7/2017 10:58:44 PM  Intellisense-START-DIALOGUE  DIALOGUE
10/7/2017 10:58:46 PM  SPEED-UP-DIALOGUE  DIALOGUE
10/7/2017 10:58:47 PM  SPEED-UP-DIALOGUE  DIALOGUE
10/7/2017 10:58:47 PM  Intellisense-END-DIALOGUE  DIALOGUE
10/7/2017 10:58:50 PM  OPEN-TERMINAL-FOR-Slime (16) (UnityEngine.GameObject)  TERMINAL-WINDOW
10/7/2017 10:58:51 PM  MOUSE-OVER-DEBUG-BUTTON  TERMINAL_WINDOW
10/7/2017 10:58:51 PM  DEBUG-CLICKED  TERMINAL_WINDOW
10/7/2017 10:58:51 PM  CORRECT-SYNTAX  CODE
10/7/2017 10:58:52 PM  OPEN-TERMINAL-FOR-Slime (16) (UnityEngine.GameObject)  TERMINAL-WINDOW
10/7/2017 10:58:54 PM  TYPING-CODE: System.body(Color.blue); --> System.body(Colorue);  CODE
10/7/2017 10:58:54 PM  TYPING-CODE: System.body(Colorue); --> System.body(Colore);  CODE
10/7/2017 10:58:55 PM  MOUSE-OVER-DEBUG-BUTTON  TERMINAL_WINDOW
10/7/2017 10:58:55 PM  DEBUG-CLICKED  TERMINAL_WINDOW
10/7/2017 10:58:55 PM  WRONG-SYNTAX  CODE
10/7/2017 10:58:57 PM  OPEN-TERMINAL-FOR-Slime (16) (UnityEngine.GameObject)  TERMINAL-WINDOW
10/7/2017 10:58:58 PM  MOUSE-OVER-DEBUG-BUTTON  TERMINAL_WINDOW
10/7/2017 10:58:58 PM  DEBUG-CLICKED  TERMINAL_WINDOW
10/7/2017 10:58:58 PM  WRONG-SYNTAX  CODE
